39.5,17.4,186,3800
40.3,18,195,3250
36.7,19.3,193,3450
38.9,17.8,181,3625
41.1,17.6,182,3200
36.6,17.8,185,3700
38.7,19,195,3450
34.4,18.4,184,3325
37.8,18.3,174,3400
35.9,19.2,189,3800
35.3,18.9,187,3800
40.5,17.9,187,3200
37.9,18.6,172,3150
39.5,16.7,178,3250
39.5,17.8,188,3300
36.4,17,195,3325
42.2,18.5,180,3550
37.6,19.3,181,3300
36.5,18,182,3150
36,18.5,186,3100
37,16.9,185,3000
36,17.9,190,3450
39.6,17.7,186,3500
35,17.9,190,3450
34.5,18.1,187,2900
39,17.5,186,3550
36.5,16.6,181,2850
35.7,16.9,185,3150
37.6,17,185,3600
36.4,17.1,184,2850
35.5,16.2,195,3350
35.9,16.6,190,3050
33.5,19,190,3600
39.6,17.2,196,3550
35.5,17.5,190,3700
40.9,16.8,191,3700
36.2,16.1,187,3550
34.6,17.2,189,3200
36.7,18.8,187,3800
37.3,17.8,191,3350
36.9,18.6,189,3500
38.9,18.8,190,3600
35.7,18,202,3550
34,17.1,185,3400
36.2,17.3,187,3300
38.1,18.6,190,3700
33.1,16.1,178,2900
35,17.9,192,3725
37.7,16,183,3075
37.9,18.6,193,2925
38.6,17.2,199,3750
38.1,17,181,3175
38.1,16.5,198,3825
39.7,17.7,193,3200
39.6,20.7,191,3900
38.6,17,188,2900
35.7,17,189,3350
36.2,17.2,187,3150
40.2,17,176,3450
35.2,15.9,186,3050
38.8,17.6,191,3275
39,17.1,191,3050
38.5,17.9,190,3325
36.8,18.5,193,3500
38.1,17.6,187,3425
35.6,17.5,191,3175
37,16.5,185,3400
40.2,17.1,193,3400
32.1,15.5,188,3050
37.3,16.8,192,3000
36.6,18.4,184,3475
36,17.8,195,3450
36,17.1,187,3700
46.5,17.9,192,3500
45.4,18.7,188,3525
45.2,17.8,198,3950
46.1,18.2,178,3250
46,18.9,195,4150
46.6,17.8,193,3800
47,17.3,185,3700
45.9,17.1,190,3575
58,17.8,181,3700
46.4,18.6,190,3450
42.4,17.3,181,3600
43.2,16.6,187,2900
46.7,17.9,195,3300
50.5,18.4,200,3400
46.4,17.8,191,3700
40.9,16.6,187,3200
42.5,16.7,187,3350
47.5,16.8,199,3900
47.6,18.3,195,3850
46.9,16.6,192,2700
46.2,17.5,187,3650
45.5,17,196,3500
50.9,17.9,196,3675
50.1,17.9,190,3400
49.8,17.3,198,3675
48.1,16.4,199,3325
45.7,17.3,193,3600
42.5,17.3,187,3350
45.2,16.6,191,3250
45.6,19.4,194,3525
46.8,16.5,189,3650
45.7,17,195,3650
43.5,18.1,202,3400
50.2,18.7,198,3775
